delta,eta,es_baseline,riqueza_final,log_crecimiento_medio,CAGR,varianza_mensual,max_drawdown,peor_mes,percentil5_mensual,VaR_perdida,CVaR_perdida,turnover_total,n_transacciones,turnover_medio_activo,costo_total,costo_medio,peso_max_promedio,peso_max_pico,Neff_promedio,violaciones_delta,min_factor_crecimiento,fraccion_factible,fallos_solver,n_meses,CAGR_diff_vs_baseline,MDD_diff_vs_baseline
0.6,0.5,0,1.03183980863752,0.000652988142133428,0.00786663838373758,3.88396710460663e-07,0,3.46796679995265e-06,8.36623803137648e-06,-8.36623803137648e-06,-5.78097848114023e-06,0.00254720383071532,46,5.53745281472882e-05,2.57006794100967e-06,5.3543082104368e-08,0.361284757658976,0.504349858430658,4.6061856835377,0,1.0000034679668,1,0,48,-0.232439501953099,-0.195858500146563
0.6,1,0,1.03181897638714,0.000652567524907851,0.00786155128374566,3.8849581135346e-07,0,1.50699582102121e-06,8.33061145986136e-06,-8.33061145986136e-06,-4.88085876559907e-06,0.00285202360789361,48,5.94171584977834e-05,2.87738691440189e-06,5.99455607167061e-08,0.339104754457047,0.528392734289593,4.44162641187569,0,1.00000150699582,1,0,48,-0.232444589053091,-0.195858500146563
0.7,0,1,2.36660279351316,0.0179469897158031,0.240313135777392,0.0024116087873597,0.195858669943065,-0.108608910889847,-0.0669188606605999,0.0669188606605998,0.0950417904918304,4.72955253670457,48,0.0985323445146786,0.00676785298549827,0.000140996937197881,0.250024488492975,0.250249999149182,4.21698253683036,0,0.891391089110153,1,0,48,0,0
0.7,0.01,0,2.32581134597238,0.0175847696703014,0.234933640248045,0.00233593539105144,0.19586641174333,-0.10860906999381,-0.0619803766903942,0.061980376690394,0.0950421446078245,4.13514184991717,48,0.086148788539941,0.00599336603914498,0.000124861792482187,0.250021516588979,0.250249999202148,4.33290595902266,0,0.89139093000619,1,0,48,-0.00537949552934713,7.74180026485993e-06
0.7,0.02,0,2.22164546466494,0.0166301692006339,0.220867938018058,0.00231802354903676,0.197170219403466,-0.108609093322121,-0.0624328621556698,0.0624328621556696,0.0964855391868288,4.24225832088825,48,0.088380381685172,0.006145680564852,0.00012803501176775,0.250022074506011,0.250249999399118,4.3135129192847,0,0.891390906677879,1,0,48,-0.0194451977593335,0.0013115494604018
0.7,0.03,0,2.18218345568134,0.0162567908484201,0.215410026437377,0.00225920751849191,0.194709445332438,-0.10636834533761,-0.0612061610378788,0.0612061610378786,0.094745436937231,3.94334441352163,48,0.082153008615034,0.00562338492712124,0.000117153852648359,0.25002050969395,0.250249993929127,4.36430507217891,0,0.89363165466239,1,0,48,-0.0249031093400147,-0.00114922461062694
0.7,0.04,0,2.06690659552674,0.0151261060677957,0.199030451111715,0.00223206560915486,0.195580957301827,-0.106368254053117,-0.0604809184531364,0.0604809184531363,0.0959677380294551,4.08075596025543,48,0.0850157491719881,0.00555308284125217,0.00011568922585942,0.249416803496091,0.250249998427676,4.40215818631545,0,0.893631745946883,1,0,48,-0.0412826846656771,-0.000277712641237771
0.7,0.05,0,2.09456994841534,0.015403088689226,0.203022408824346,0.0022117749942499,0.199785892830772,-0.108803392530935,-0.0614137752555696,0.0614137752555694,0.098519406398044,4.08226161459463,48,0.0850471169707215,0.00586274856283463,0.000122140595059055,0.249594889332308,0.250249999399849,4.57357603107015,0,0.891196607469065,1,0,48,-0.0372907269530456,0.00392722288770775
0.7,0.1,0,1.69422393925181,0.0109838496466034,0.140887189064474,0.00158000812973883,0.174381877452839,-0.103628140485558,-0.0646504750952048,0.0646504750952046,0.0937910563489376,4.22830056236165,48,0.088089595049201,0.00531191305218422,0.000110664855253838,0.248599276351766,0.250077402692023,5.8266244298944,0,0.896371859514442,1,0,48,-0.0994259467129184,-0.0214767924902259
0.7,0.15,0,1.56992871884974,0.00939646284006207,0.119360515658711,0.00128638069576417,0.140155643098068,-0.0962001515820602,-0.062081188353267,0.062081188353267,0.08291708513331,3.61494166645313,48,0.0753112847177734,0.00436920140442262,9.10250292588046e-05,0.245369960168256,0.294304628229585,6.85901354946354,0,0.90379984841794,1,0,48,-0.120952620118681,-0.055703026844997
0.7,0.3,0,1.03191288058641,0.000654463447073888,0.00788448146925225,3.88319012400269e-07,0,3.4175334273634e-06,1.36821811658416e-05,-1.36821811658417e-05,-6.2829452246449e-06,0.00472907980588805,48,9.8522495956001e-05,4.77237326871693e-06,9.94244430982695e-08,0.322616106029856,0.407048200935963,5.57935558478964,0,1.00000341753343,1,0,48,-0.23242865430814,-0.195858669943065
0.7,0.5,0,1.0318356980577,0.000652905147418974,0.00786563461299106,3.88385907774909e-07,0,3.9294363420872e-06,8.45708568562031e-06,-8.45708568562032e-06,-5.89597531719388e-06,0.00188616240650225,47,4.01309627478061e-05,1.90011327910766e-06,3.9585693314743e-08,0.376232931216633,0.627910523387605,4.47949755946086,0,1.00000392943634,1,0,48,-0.232447501164401,-0.195858669943065
0.7,1,0,1.0318169973534,0.000652527566436386,0.00786106801257702,3.88538327656789e-07,0,3.97978423549716e-08,8.33305931633443e-06,-8.33305931633443e-06,-4.18629074749877e-06,0.00151244371073143,40,3.78113681095233e-05,1.52717735482975e-06,3.18161948922864e-08,0.347023001059899,0.500637092677761,4.35495139742959,0,1.00000003979784,1,0,48,-0.232452067764815,-0.195858669943065
0.75,0,1,2.3666603072187,0.0179474960059346,0.24032067129989,0.00241153527292975,0.195858641831792,-0.108608883362728,-0.066903876696821,0.0669038766968209,0.0950417878580249,4.72871680360757,48,0.0985149334084911,0.00676707529319437,0.000140980735274883,0.250024520518693,0.250249995719821,4.21691683055173,0,0.891391116637272,1,0,48,0,0
0.75,0.01,0,2.32582351748342,0.0175848786956889,0.234935255918526,0.00233600908839342,0.195866396178902,-0.108609057178382,-0.0619811936507307,0.0619811936507306,0.0950419982242101,4.13409980259005,48,0.086127079220626,0.00599130457896093,0.000124818845395019,0.250021506420544,0.250249999249607,4.33291926113656,0,0.891390942821618,1,0,48,-0.00538541538136461,7.75434711064449e-06
0.75,0.02,0,2.22187948864576,0.0166323636294516,0.220900087734789,0.00231823692356266,0.197169535397904,-0.108609057159059,-0.0624326755448228,0.0624326755448227,0.0964846259465607,4.24207335817564,48,0.0883765282953258,0.00614591968011912,0.000128039993335815,0.250022082682445,0.250249999409435,4.31329956773312,0,0.891390942840941,1,0,48,-0.0194205835651016,0.00131089356611203
0.75,0.03,0,2.18223341799974,0.0162572678338518,0.215416983251802,0.00225902904550692,0.194686660017816,-0.106368275273103,-0.0611991188275586,0.0611991188275584,0.0947133195798779,3.94345734047684,48,0.0821553612599343,0.00562358047200971,0.000117157926500202,0.250020514618087,0.250249998130942,4.36416585862525,0,0.893631724726897,1,0,48,-0.0249036880480884,-0.00117198181397615
0.75,0.04,0,2.0670575447912,0.0151276275015758,0.19905234225673,0.0022320478368312,0.195561789732885,-0.10636737508137,-0.0604805330604317,0.0604805330604315,0.0959665150391169,4.08197658336429,48,0.0850411788200893,0.0055536560891048,0.000115701168523017,0.249417504650111,0.250249998791541,4.40202191979008,0,0.89363262491863,1,0,48,-0.0412683290431601,-0.000296852098906952
0.75,0.05,0,2.09429047641879,0.0154003087764672,0.202982277925591,0.00221190119317924,0.199805584658597,-0.108803444235465,-0.0614224622192169,0.0614224622192167,0.098530455715803,4.08473763572658,48,0.0850987007443036,0.0058657522138158,0.000122203171121163,0.249594094067892,0.250249999527137,4.57340014471834,0,0.891196555764535,1,0,48,-0.0373383933742995,0.00394694282680474
0.75,0.1,0,1.69349278755018,0.0109748569659384,0.140764080097078,0.00158018873755867,0.174634548348307,-0.10362517025303,-0.064663133848588,0.0646631338485879,0.0938488366122525,4.23082801942155,48,0.0881422504046157,0.0053167910656649,0.000110766480534685,0.248600638713988,0.250077458995297,5.82684276915931,0,0.89637482974697,1,0,48,-0.099556591202812,-0.021224093483485
0.75,0.15,0,1.56992656388214,0.00939643424310187,0.11936013153508,0.0012865278005387,0.140192050668696,-0.0962199935858558,-0.0620815726684844,0.0620815726684843,0.0829297726220979,3.61513401793936,48,0.0753152920404033,0.00436936116952176,9.10283576983699e-05,0.245374604160911,0.294364025959135,6.85878985735255,0,0.903780006414144,1,0,48,-0.12096053976481,-0.0556665911630959
